hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko
L3-0393,救,jiù,동사,3,구하다 · 살리다,동작,他救了那个孩子。,Tā jiù le nàge háizi.,그는 그 아이를 구했다.
L3-0117,从来,cónglái,부사,3,여태껏 (주로 부정과 함께),시간,我从来没去过中国。,Wǒ cónglái méi qù guo Zhōngguó.,나는 여태껏 중국에 가본 적이 없다.
L3-0728,图,tú,명사,3,그림 · 도표,사물,请看这张图。,Qǐng kàn zhè zhāng tú.,이 그림을 보세요.
L3-0644,实际上,shíjìshàng,부사,3,사실상 · 실제로는,어법,实际上他早就知道了。,Shíjìshàng tā zǎo jiù zhīdào le.,사실 그는 진작 알고 있었다.
L3-0124,达到,dádào,동사,3,도달하다 · 이르다,평가,我们达到了目标。,Wǒmen dádào le mùbiāo.,우리는 목표에 도달했다.
L3-0783,现实,xiànshí,명사,3,현실,생각,现实和想象不同。,Xiànshí hé xiǎngxiàng bù tóng.,현실과 상상은 다르다.
L3-0478,媒体,méitǐ,명사,3,매체 · 언론,사회,媒体报道了这件事。,Méitǐ bàodào le zhè jiàn shì.,언론이 이 일을 보도했다.
L3-0506,内容,nèiróng,명사,3,내용,사물,这本书的内容很好。,Zhè běn shū de nèiróng hěn hǎo.,이 책의 내용은 아주 좋다.
L3-0615,上面,shàngmiàn,명사,3,위 · 위쪽,장소,桌子上面有一本书。,Zhuōzi shàngmiàn yǒu yì běn shū.,책상 위에 책 한 권이 있다.
L3-0722,痛,tòng,형용사,3,아프다,몸,我的头很痛。,Wǒ de tóu hěn tòng.,내 머리가 아주 아프다.
L3-0221,感情,gǎnqíng,명사,3,감정 · 정,감정,他们的感情很好。,Tāmen de gǎnqíng hěn hǎo.,그들은 사이가 아주 좋다.
L3-0265,观众,guānzhòng,명사,3,관중 · 시청자,활동,观众都站了起来。,Guānzhòng dōu zhàn le qǐlái.,관중이 모두 일어섰다.
L3-0482,美丽,měilì,형용사,3,아름답다,평가,这是一座美丽的城市。,Zhè shì yí zuò měilì de chéngshì.,이곳은 아름다운 도시다.
L3-0953,追,zhuī,동사,3,뒤쫓다,동작,他在后面追我。,Tā zài hòumiàn zhuī wǒ.,그가 뒤에서 나를 쫓아온다.
L3-0383,经验,jīngyàn,명사,3,경험,일,他有很多工作经验。,Tā yǒu hěn duō gōngzuò jīngyàn.,그는 업무 경험이 아주 많다.
L3-0320,集中,jízhōng,동사·형용사,3,집중하다 · 모으다,생각,请集中注意力。,Qǐng jízhōng zhùyìlì.,주의를 집중해 주세요.
L3-0540,破,pò,형용사·동사,3,깨지다 · 낡다,사물,我的杯子破了。,Wǒ de bēizi pò le.,내 컵이 깨졌다.
L3-0442,理由,lǐyóu,명사,3,이유,생각,你有什么理由？,Nǐ yǒu shénme lǐyóu?,무슨 이유가 있나요?
L3-0141,刀,dāo,명사,3,칼,사물,这把刀很快。,Zhè bǎ dāo hěn kuài.,이 칼은 아주 잘 든다.
L3-0222,感受,gǎnshòu,명사·동사,3,느낌 · 느끼다,감정,说说你的感受吧。,Shuōshuo nǐ de gǎnshòu ba.,네 느낌을 말해 봐.
L3-0744,完美,wánměi,형용사,3,완벽하다,평가,没有人是完美的。,Méiyǒu rén shì wánměi de.,완벽한 사람은 없다.
L3-0908,直到,zhídào,동사,3,~에 이르러서야 · ~까지,시간,直到现在我还记得。,Zhídào xiànzài wǒ hái jìde.,지금까지도 나는 아직 기억한다.
L3-0109,传,chuán,동사,3,전하다 · 퍼지다,동작,请把这个传给他。,Qǐng bǎ zhège chuán gěi tā.,이것을 그에게 전해 주세요.
L3-0886,真实,zhēnshí,형용사,3,진실하다 · 실제의,평가,这是一个真实的故事。,Zhè shì yí ge zhēnshí de gùshi.,이것은 실화다.
