hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko
L3-0258,故乡,gùxiāng,명사,3,고향,장소,他很久没回故乡了。,Tā hěn jiǔ méi huí gùxiāng le.,그는 오랫동안 고향에 돌아가지 못했다.
L3-0596,认得,rènde,동사,3,알아보다 · 알다,관계,我认得这个人。,Wǒ rènde zhège rén.,나는 이 사람을 안다.
L3-0857,邮票,yóupiào,명사,3,우표,사물,他收集邮票。,Tā shōují yóupiào.,그는 우표를 모은다.
L3-0190,房租,fángzū,명사,3,집세,생활,这里的房租很贵。,Zhèlǐ de fángzū hěn guì.,이곳은 집세가 아주 비싸다.
L3-0768,武术,wǔshù,명사,3,무술,활동,他从小就学武术。,Tā cóngxiǎo jiù xué wǔshù.,그는 어릴 때부터 무술을 배웠다.
L3-0737,推开,tuīkāi,동사,3,밀어서 열다 · 밀치다,동작,他推开了门。,Tā tuīkāi le mén.,그는 문을 밀어서 열었다.
L3-0162,短裤,duǎnkù,명사,3,반바지,사물,夏天我常穿短裤。,Xiàtiān wǒ cháng chuān duǎnkù.,여름에 나는 반바지를 자주 입는다.
L3-0188,房东,fángdōng,명사,3,집주인,생활,房东是个好人。,Fángdōng shì ge hǎo rén.,집주인은 좋은 사람이다.
L3-0271,广大,guǎngdà,형용사,3,광범위하다 · 넓다,평가,这里有广大的草原。,Zhèlǐ yǒu guǎngdà de cǎoyuán.,이곳에는 넓은 초원이 있다.
L3-0670,收音机,shōuyīnjī,명사,3,라디오,사물,爷爷在听收音机。,Yéye zài tīng shōuyīnjī.,할아버지가 라디오를 듣고 계신다.
L3-0669,收听,shōutīng,동사,3,청취하다 · 듣다,활동,他每天收听新闻。,Tā měitiān shōutīng xīnwén.,그는 매일 뉴스를 듣는다.
L3-0152,电子邮件,diànzǐ yóujiàn,명사,3,전자 우편 · 이메일,사물,我给他发了电子邮件。,Wǒ gěi tā fā le diànzǐ yóujiàn.,나는 그에게 이메일을 보냈다.
L3-0105,初级,chūjí,형용사,3,초급의,학교,我在上初级班。,Wǒ zài shàng chūjí bān.,나는 초급반에 다닌다.
L3-0716,听力,tīnglì,명사,3,듣기 능력,학교,我的听力还不太好。,Wǒ de tīnglì hái bú tài hǎo.,내 듣기 능력은 아직 그리 좋지 않다.
L3-0801,信封,xìnfēng,명사,3,봉투,사물,请把信放进信封。,Qǐng bǎ xìn fàngjìn xìnfēng.,편지를 봉투에 넣어 주세요.
L3-0359,结实,jiēshi,형용사,3,튼튼하다,평가,这张桌子很结实。,Zhè zhāng zhuōzi hěn jiēshi.,이 탁자는 아주 튼튼하다.
L3-0947,专题,zhuāntí,명사,3,특정 주제 · 특집,학교,今天我们讲一个专题。,Jīntiān wǒmen jiǎng yí ge zhuāntí.,오늘 우리는 한 가지 주제를 다룬다.
L3-0241,工夫,gōngfu,명사,3,틈 · 시간,시간,我没工夫去。,Wǒ méi gōngfu qù.,나는 갈 틈이 없다.
L3-0114,创业,chuàngyè,동사,3,창업하다,일,他大学毕业后就创业了。,Tā dàxué bìyè hòu jiù chuàngyè le.,그는 대학을 졸업하고 바로 창업했다.
L3-0467,旅行社,lǚxíngshè,명사,3,여행사,장소,我在旅行社订了票。,Wǒ zài lǚxíngshè dìng le piào.,나는 여행사에서 표를 예약했다.
L3-0302,话剧,huàjù,명사,3,연극,활동,我们去看话剧吧。,Wǒmen qù kàn huàjù ba.,우리 연극 보러 가자.
L3-0128,大使馆,dàshǐguǎn,명사,3,대사관,장소,大使馆离这儿不远。,Dàshǐguǎn lí zhèr bù yuǎn.,대사관은 여기서 멀지 않다.
L3-0609,沙子,shāzi,명사,3,모래,자연,鞋里进了沙子。,Xié lǐ jìn le shāzi.,신발 안에 모래가 들어갔다.
L3-0198,分组,fēn zǔ,동사,3,조를 나누다,학교,老师把我们分组了。,Lǎoshī bǎ wǒmen fēnzǔ le.,선생님이 우리를 조로 나누었다.
L3-0567,请教,qǐngjiào,동사,3,가르침을 청하다 · 여쭙다,관계,我想请教您一个问题。,Wǒ xiǎng qǐngjiào nín yí ge wèntí.,한 가지 여쭙고 싶습니다.
L3-0512,年底,niándǐ,명사,3,연말,시간,年底工作特别忙。,Niándǐ gōngzuò tèbié máng.,연말에는 일이 유난히 바쁘다.
L3-0134,带动,dàidòng,동사,3,이끌어 움직이다,일,他带动了整个团队。,Tā dàidòng le zhěnggè tuánduì.,그는 팀 전체를 이끌었다.
L3-0351,交警,jiāojǐng,명사,3,교통경찰,사회,交警在路口指挥。,Jiāojǐng zài lùkǒu zhǐhuī.,교통경찰이 길목에서 지휘한다.
L3-0133,代表团,dàibiǎotuán,명사,3,대표단,사회,代表团昨天到了。,Dàibiǎotuán zuótiān dào le.,대표단이 어제 도착했다.
L3-0850,影视,yǐngshì,명사,3,영화와 텔레비전,활동,他在影视公司工作。,Tā zài yǐngshì gōngsī gōngzuò.,그는 영상 회사에서 일한다.
L3-0275,国庆,guóqìng,명사,3,국경절,시간,国庆放七天假。,Guóqìng fàng qī tiān jià.,국경절에는 이레를 쉰다.
L3-0973,做客,zuòkè,동사,3,손님으로 가다,관계,今天我去朋友家做客。,Jīntiān wǒ qù péngyou jiā zuòkè.,오늘 나는 친구 집에 손님으로 간다.
L3-0439,理发,lǐfà,동사,3,이발하다 · 머리를 깎다,생활,我该去理发了。,Wǒ gāi qù lǐfà le.,나는 머리를 깎으러 가야겠다.
L3-0692,所长,suǒzhǎng,명사,3,소장,사회,他是研究所的所长。,Tā shì yánjiūsuǒ de suǒzhǎng.,그는 연구소의 소장이다.
L3-0537,票价,piàojià,명사,3,표값,사물,票价是五十块。,Piàojià shì wǔshí kuài.,표값은 오십 위안이다.
L3-0300,华人,huárén,명사,3,중국계 사람 · 화교,사회,这里住着很多华人。,Zhèlǐ zhùzhe hěn duō huárén.,이곳에는 화교가 많이 산다.
L3-0862,有的是,yǒudeshì,동사,3,얼마든지 있다,어법,时间有的是，别着急。,Shíjiān yǒudeshì bié zháojí.,시간은 얼마든지 있으니 서두르지 마.
L3-0535,皮包,píbāo,명사,3,가죽 가방,사물,他拿着一个黑皮包。,Tā názhe yí ge hēi píbāo.,그는 검은 가죽 가방을 들고 있다.
L3-0450,连续剧,liánxùjù,명사,3,연속극,활동,我在追一部连续剧。,Wǒ zài zhuī yí bù liánxùjù.,나는 연속극 한 편을 보고 있다.
L3-0209,复印,fùyìn,동사,3,복사하다,일,请帮我复印一下。,Qǐng bāng wǒ fùyìn yíxià.,좀 복사해 주세요.
L3-0729,图画,túhuà,명사,3,그림,사물,墙上挂着一幅图画。,Qiáng shàng guàzhe yì fú túhuà.,벽에 그림 한 폭이 걸려 있다.
L3-0468,绿茶,lǜchá,명사,3,녹차,음식,我喜欢喝绿茶。,Wǒ xǐhuan hē lǜchá.,나는 녹차 마시는 걸 좋아한다.
L3-0461,留学,liúxué,동사,3,유학하다,학교,他去中国留学了。,Tā qù Zhōngguó liúxué le.,그는 중국으로 유학 갔다.
L3-0357,教材,jiàocái,명사,3,교재,학교,这本教材很好用。,Zhè běn jiàocái hěn hǎo yòng.,이 교재는 아주 쓰기 좋다.
L3-0677,书架,shūjià,명사,3,책꽂이,사물,书架上都是书。,Shūjià shàng dōu shì shū.,책꽂이에 온통 책이다.
L3-0543,普及,pǔjí,동사,3,널리 퍼지다 · 보급되다,사회,手机已经普及了。,Shǒujī yǐjīng pǔjí le.,휴대폰은 이미 널리 퍼졌다.
L3-0510,年初,niánchū,명사,3,연초,시간,年初我换了工作。,Niánchū wǒ huàn le gōngzuò.,연초에 나는 일을 바꾸었다.
L3-0661,试题,shìtí,명사,3,시험 문제,학교,今年的试题不难。,Jīnnián de shìtí bù nán.,올해 시험 문제는 어렵지 않다.
L3-0500,奶茶,nǎichá,명사,3,밀크티,음식,她每天喝一杯奶茶。,Tā měitiān hē yì bēi nǎichá.,그는 매일 밀크티를 한 잔 마신다.
L3-0844,银牌,yínpái,명사,3,은메달,활동,他拿了银牌。,Tā ná le yínpái.,그는 은메달을 땄다.
L3-0292,红茶,hóngchá,명사,3,홍차,음식,我要一杯红茶。,Wǒ yào yì bēi hóngchá.,나는 홍차 한 잔 주세요.
L3-0591,人民币,rénmínbì,명사,3,인민폐 · 위안화,사물,这里只收人民币。,Zhèlǐ zhǐ shōu rénmínbì.,이곳은 위안화만 받는다.
L3-0432,老头儿,lǎotóur,명사,3,영감 · 노인,가족,那个老头儿很有意思。,Nàge lǎotóur hěn yǒu yìsi.,저 노인은 아주 재미있다.
L3-0299,划船,huáchuán,동사,3,배를 젓다,활동,我们去湖上划船吧。,Wǒmen qù hú shàng huáchuán ba.,우리 호수에 배 저으러 가자.
