hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko
L3-0517,农民,nóngmín,명사,3,농민,사회,他的父母都是农民。,Tā de fùmǔ dōu shì nóngmín.,그의 부모님은 모두 농민이다.
L3-0491,民族,mínzú,명사,3,민족,사회,中国有五十六个民族。,Zhōngguó yǒu wǔshíliù ge mínzú.,중국에는 쉰여섯 개의 민족이 있다.
L3-0612,商品,shāngpǐn,명사,3,상품,사물,这里的商品很便宜。,Zhèlǐ de shāngpǐn hěn piányi.,이곳의 상품은 아주 싸다.
L3-0681,属,shǔ,동사,3,~에 속하다 · 띠가 ~이다,어법,我属马。,Wǒ shǔ mǎ.,나는 말띠다.
L3-0424,裤子,kùzi,명사,3,바지,사물,这条裤子有点儿长。,Zhè tiáo kùzi yǒudiǎnr cháng.,이 바지는 조금 길다.
L3-0874,运输,yùnshū,동사,3,운송하다 · 수송하다,일,火车运输很方便。,Huǒchē yùnshū hěn fāngbiàn.,기차 운송은 아주 편리하다.
L3-0110,传播,chuánbō,동사,3,퍼뜨리다 · 전파하다,사회,消息传播得很快。,Xiāoxi chuánbō de hěn kuài.,소식이 아주 빠르게 퍼진다.
L3-0285,好奇,hàoqí,형용사,3,호기심이 많다,감정,孩子对什么都好奇。,Háizi duì shénme dōu hàoqí.,아이는 무엇에나 호기심이 많다.
L3-0319,集体,jítǐ,명사,3,집단 · 단체,사회,这是集体的决定。,Zhè shì jítǐ de juédìng.,이것은 집단의 결정이다.
L3-0867,预计,yùjì,동사,3,예상하다 · 어림잡다,생각,预计明天会下雪。,Yùjì míngtiān huì xiàxuě.,내일 눈이 올 것으로 예상된다.
L3-0470,落后,luòhòu,동사·형용사,3,뒤떨어지다 · 낙후하다,평가,他的成绩落后了。,Tā de chéngjì luòhòu le.,그의 성적이 뒤떨어졌다.
L3-0608,沙发,shāfā,명사,3,소파,사물,他坐在沙发上看电视。,Tā zuò zài shāfā shàng kàn diànshì.,그는 소파에 앉아 텔레비전을 본다.
L3-0557,强调,qiángdiào,동사,3,강조하다,생각,老师强调了这一点。,Lǎoshī qiángdiào le zhè yì diǎn.,선생님은 이 점을 강조했다.
L3-0329,加快,jiākuài,동사,3,빠르게 하다 · 가속하다,동작,请加快速度。,Qǐng jiākuài sùdù.,속도를 좀 더 내 주세요.
L3-0413,考验,kǎoyàn,동사,3,시험하다 · 검증하다,평가,这件事很考验人。,Zhè jiàn shì hěn kǎoyàn rén.,이 일은 사람을 아주 시험한다.
L3-0197,分配,fēnpèi,동사,3,나누다 · 배분하다,일,我们分配了工作。,Wǒmen fēnpèi le gōngzuò.,우리는 일을 나누었다.
L3-0873,乐队,yuèduì,명사,3,밴드 · 악단,활동,他在一个乐队里。,Tā zài yí ge yuèduì lǐ.,그는 어느 밴드에 있다.
L3-0828,演唱会,yǎnchànghuì,명사,3,콘서트,활동,我昨天去看演唱会了。,Wǒ zuótiān qù kàn yǎnchànghuì le.,나는 어제 콘서트를 보러 갔다.
L3-0814,修改,xiūgǎi,동사,3,고치다 · 수정하다,일,请修改一下这份文件。,Qǐng xiūgǎi yíxià zhè fèn wénjiàn.,이 문서를 좀 수정해 주세요.
L3-0827,演唱,yǎnchàng,동사,3,노래를 부르다,활동,这首歌由她演唱。,Zhè shǒu gē yóu tā yǎnchàng.,이 노래는 그가 부른다.
L3-0712,跳舞,tiàowǔ,동사,3,춤을 추다,활동,她跳舞跳得很好。,Tā tiàowǔ tiào de hěn hǎo.,그는 춤을 아주 잘 춘다.
L3-0150,电视台,diànshìtái,명사,3,방송국,사회,他在电视台工作。,Tā zài diànshìtái gōngzuò.,그는 방송국에서 일한다.
L3-0175,发明,fāmíng,동사·명사,3,발명하다 · 발명,일,是谁发明了电话？,Shì shéi fāmíng le diànhuà?,누가 전화를 발명했습니까?
L3-0856,邮件,yóujiàn,명사,3,우편물 · 이메일,사물,我给你发了一封邮件。,Wǒ gěi nǐ fā le yì fēng yóujiàn.,내가 너에게 메일을 한 통 보냈다.
L3-0726,突出,tūchū,형용사·동사,3,두드러지다 · 뛰어나다,평가,他的表现很突出。,Tā de biǎoxiàn hěn tūchū.,그의 활약은 아주 두드러진다.
L3-0546,其次,qícì,대사,3,그다음 · 둘째로,어법,首先要吃好，其次要睡好。,Shǒuxiān yào chī hǎo qícì yào shuì hǎo.,먼저 잘 먹어야 하고 그다음은 잘 자야 한다.
L3-0434,乐观,lèguān,형용사,3,낙관적이다,태도,他一直很乐观。,Tā yìzhí hěn lèguān.,그는 줄곧 아주 낙관적이다.
L3-0309,会员,huìyuán,명사,3,회원,사회,我是这里的会员。,Wǒ shì zhèlǐ de huìyuán.,나는 이곳의 회원이다.
L3-0586,热烈,rèliè,형용사,3,열렬하다,감정,大家热烈欢迎他。,Dàjiā rèliè huānyíng tā.,모두가 그를 열렬히 환영한다.
L3-0790,相似,xiāngsì,형용사,3,비슷하다,평가,这两个字很相似。,Zhè liǎng ge zì hěn xiāngsì.,이 두 글자는 아주 비슷하다.
L3-0452,联合国,Liánhéguó,명사,3,국제 연합 · 유엔,사회,他在联合国工作。,Tā zài Liánhéguó gōngzuò.,그는 유엔에서 일한다.
L3-0748,往往,wǎngwǎng,부사,3,흔히 · 대개,어법,他往往很晚才回家。,Tā wǎngwǎng hěn wǎn cái huíjiā.,그는 흔히 아주 늦게야 집에 돌아온다.
