hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko
L3-0526,派,pài,동사·명사,3,파견하다 · 파벌,일,公司派他去北京。,Gōngsī pài tā qù Běijīng.,회사는 그를 베이징으로 보냈다.
L3-0284,好好,hǎohǎo,부사·형용사,3,잘 · 제대로,평가,你要好好休息。,Nǐ yào hǎohǎo xiūxi.,너는 푹 쉬어야 한다.
L3-0326,技术,jìshù,명사,3,기술,일,他的技术很好。,Tā de jìshù hěn hǎo.,그의 기술은 아주 좋다.
L3-0620,设计,shèjì,동사·명사,3,설계하다 · 디자인,일,这个房子是他设计的。,Zhège fángzi shì tā shèjì de.,이 집은 그가 설계한 것이다.
L3-0446,利用,lìyòng,동사,3,이용하다,일,我们要利用好时间。,Wǒmen yào lìyòng hǎo shíjiān.,우리는 시간을 잘 이용해야 한다.
L3-0347,建议,jiànyì,동사·명사,3,제안하다 · 제안,생각,我建议你早点儿去。,Wǒ jiànyì nǐ zǎo diǎnr qù.,나는 네가 좀 일찍 가기를 권한다.
L3-0234,各位,gèwèi,대사,3,여러분,관계,各位请安静。,Gèwèi qǐng ānjìng.,여러분 조용히 해 주세요.
L3-0872,约,yuē,동사,3,약속하다,관계,我约了朋友吃饭。,Wǒ yuē le péngyou chīfàn.,나는 친구와 밥 먹기로 약속했다.
L3-0943,抓,zhuā,동사,3,잡다 · 쥐다,동작,他抓住了我的手。,Tā zhuāzhù le wǒ de shǒu.,그는 내 손을 잡았다.
L3-0268,光,guāng,명사·부사·형용사,3,빛 · 오직 ~만,자연,房间里光线很好。,Fángjiān lǐ guāngxiàn hěn hǎo.,방 안은 빛이 잘 든다.
L3-0841,意义,yìyì,명사,3,의미 · 뜻,생각,这件事很有意义。,Zhè jiàn shì hěn yǒu yìyì.,이 일은 아주 의미가 있다.
L3-0206,父亲,fùqīn,명사,3,아버지,가족,我父亲是老师。,Wǒ fùqīn shì lǎoshī.,내 아버지는 선생님이다.
L3-0368,金,jīn,명사,3,금,사물,金是很贵的东西。,Jīn shì hěn guì de dōngxi.,금은 아주 비싼 물건이다.
L3-0622,社会,shèhuì,명사,3,사회,사회,这是一个社会问题。,Zhè shì yí ge shèhuì wèntí.,이것은 사회 문제다.
L3-0775,下去,xiàqù,동사,3,내려가다 · 계속하다,동작,我们继续说下去吧。,Wǒmen jìxù shuō xiàqù ba.,우리 계속 이야기합시다.
L3-0901,证明,zhèngmíng,동사·명사,3,증명하다 · 증명서,생각,事实证明他是对的。,Shìshí zhèngmíng tā shì duì de.,사실이 그가 옳았음을 증명했다.
L3-0323,记者,jìzhě,명사,3,기자,일,他是一名记者。,Tā shì yì míng jìzhě.,그는 기자다.
L3-0582,确实,quèshí,부사·형용사,3,확실히 · 확실하다,평가,这件事确实很难。,Zhè jiàn shì quèshí hěn nán.,이 일은 확실히 아주 어렵다.
L3-0443,力,lì,명사,3,힘,몸,他用力推开了门。,Tā yònglì tuīkāi le mén.,그는 힘껏 문을 밀어 열었다.
L3-0179,发展,fāzhǎn,동사·명사,3,발전하다 · 발전,사회,这个城市发展得很快。,Zhège chéngshì fāzhǎn de hěn kuài.,이 도시는 아주 빨리 발전한다.
L3-0694,谈,tán,동사,3,이야기하다,관계,我想和你谈一谈。,Wǒ xiǎng hé nǐ tán yi tán.,나는 너와 이야기를 좀 하고 싶다.
L3-0920,至少,zhìshǎo,부사,3,적어도,어법,至少要等一个小时。,Zhìshǎo yào děng yí ge xiǎoshí.,적어도 한 시간은 기다려야 한다.
L3-0208,负责,fùzé,동사·형용사,3,책임지다 · 성실하다,일,他负责这里的工作。,Tā fùzé zhèlǐ de gōngzuò.,그는 이곳의 일을 책임진다.
L3-0674,首先,shǒuxiān,부사,3,우선 · 먼저,어법,首先我们要做计划。,Shǒuxiān wǒmen yào zuò jìhuà.,우선 우리는 계획을 세워야 한다.
L3-0354,交易,jiāoyì,명사,3,거래,일,这次交易很成功。,Zhè cì jiāoyì hěn chénggōng.,이번 거래는 아주 성공적이었다.
L3-0440,理解,lǐjiě,동사,3,이해하다,생각,我理解你的心情。,Wǒ lǐjiě nǐ de xīnqíng.,나는 네 마음을 이해한다.
L3-0205,父母,fùmǔ,명사,3,부모,가족,我的父母住在老家。,Wǒ de fùmǔ zhù zài lǎojiā.,내 부모님은 고향에 사신다.
L3-0521,怕,pà,동사·부사,3,두려워하다 · 아마,감정,我怕他不来。,Wǒ pà tā bù lái.,나는 그가 안 올까 봐 걱정이다.
