hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko
L3-0749,危害,wēihài,동사·명사,3,해치다 · 해,평가,吸烟危害健康。,Xīyān wēihài jiànkāng.,흡연은 건강을 해친다.
L3-0671,手续,shǒuxù,명사,3,수속 · 절차,일,请先办手续。,Qǐng xiān bàn shǒuxù.,먼저 수속을 밟아 주세요.
L3-0741,外交,wàijiāo,명사,3,외교,사회,他学的是外交。,Tā xué de shì wàijiāo.,그가 공부하는 것은 외교다.
L3-0225,高速公路,gāosù gōnglù,명사,3,고속도로,장소,高速公路上车很多。,Gāosù gōnglù shàng chē hěn duō.,고속도로에 차가 아주 많다.
L3-0932,种子,zhǒngzi,명사,3,씨앗,자연,他种下了一颗种子。,Tā zhòngxià le yì kē zhǒngzi.,그는 씨앗 하나를 심었다.
L3-0464,录音,lùyīn,동사·명사,3,녹음하다 · 녹음,활동,我把课录音了。,Wǒ bǎ kè lùyīn le.,나는 수업을 녹음했다.
L3-0360,接待,jiēdài,동사,3,접대하다 · 맞이하다,일,她负责接待客人。,Tā fùzé jiēdài kèrén.,그는 손님 맞이를 맡고 있다.
L3-0734,推动,tuīdòng,동사,3,밀고 나가다 · 추진하다,일,这件事推动了改革。,Zhè jiàn shì tuīdòng le gǎigé.,이 일이 개혁을 밀고 나갔다.
L3-0665,适用,shìyòng,형용사,3,적용되다 · 알맞다,어법,这条规定不适用。,Zhè tiáo guīdìng bú shìyòng.,이 규정은 적용되지 않는다.
L3-0418,客观,kèguān,형용사,3,객관적이다,태도,请客观一点儿看。,Qǐng kèguān yìdiǎnr kàn.,조금 더 객관적으로 봐 주세요.
L3-0583,裙子,qúnzi,명사,3,치마,사물,这条裙子很漂亮。,Zhè tiáo qúnzi hěn piàoliang.,이 치마는 아주 예쁘다.
L3-0792,香蕉,xiāngjiāo,명사,3,바나나,음식,我每天吃一个香蕉。,Wǒ měitiān chī yí ge xiāngjiāo.,나는 매일 바나나를 하나 먹는다.
L3-0525,牌子,páizi,명사,3,상표 · 간판,사물,这个牌子很有名。,Zhège páizi hěn yǒumíng.,이 상표는 아주 유명하다.
L3-0851,应用,yìngyòng,동사,3,응용하다 · 활용하다,일,他把理论应用到工作中。,Tā bǎ lǐlùn yìngyòng dào gōngzuò zhōng.,그는 이론을 일에 응용했다.
L3-0151,电台,diàntái,명사,3,라디오 방송국,사회,我常听这个电台。,Wǒ cháng tīng zhège diàntái.,나는 이 방송국을 자주 듣는다.
L3-0369,金牌,jīnpái,명사,3,금메달,활동,他得了一块金牌。,Tā dé le yí kuài jīnpái.,그는 금메달을 하나 땄다.
L3-0240,工程师,gōngchéngshī,명사,3,기술자 · 엔지니어,사회,我哥哥是工程师。,Wǒ gēge shì gōngchéngshī.,우리 형은 엔지니어다.
L3-0852,优点,yōudiǎn,명사,3,장점,평가,他有很多优点。,Tā yǒu hěn duō yōudiǎn.,그는 장점이 아주 많다.
L3-0745,完善,wánshàn,형용사·동사,3,잘 갖추어져 있다 · 완비하다,평가,这里的设备很完善。,Zhèlǐ de shèbèi hěn wánshàn.,이곳의 시설은 아주 잘 갖추어져 있다.
L3-0466,旅馆,lǚguǎn,명사,3,여관 · 숙소,장소,我们住在一家小旅馆。,Wǒmen zhù zài yì jiā xiǎo lǚguǎn.,우리는 작은 여관에 묵는다.
L3-0922,志愿者,zhìyuànzhě,명사,3,자원봉사자,사회,他是一名志愿者。,Tā shì yì míng zhìyuànzhě.,그는 자원봉사자다.
