hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko,meaning_en,frequency
L3-0101,重,chóng,Adv,3,,,,,,to repeat; repetition; again; re-,608
L3-0102,初,chū,Adv,3,,,,,,at first; (at the) beginning; first; junior,1869
L3-0103,初（初一）,chū (chūyī),Prefix,3,,,,,,,
L3-0104,初步,chūbù,Adj,3,,,,,,initial; preliminary; tentative,4719
L3-0105,初级,chūjí,Adj,3,,,,,,junior; primary,10185
L3-0106,初中,chūzhōng,N,3,,,,,,junior high school (abbr. for 初级中学),7208
L3-0107,除了,chúle,Prep,3,,,,,,besides; apart from (... also...); in addition to; except (for),638
L3-0108,处理,chǔlǐ,V/N,3,,,,,,to handle; to deal with; to punish; to treat sth by a special process; to process; to sell at reduced prices,525
L3-0109,传,chuán,V,3,,,,,,to pass on; to spread; to transmit; to infect,1294
L3-0110,传播,chuánbō,V,3,,,,,,to disseminate; to propagate; to spread,3790
L3-0111,传来,chuánlái,,3,,,,,,(of a sound) to come through; to be heard; (of news) to arrive,5133
L3-0112,传说,chuánshuō,V/N,3,,,,,,legend; folk tale; to repeat from mouth to mouth; they say that...,3138
L3-0113,创新,chuàngxīn,V/N,3,,,,,,to bring forth new ideas; to blaze new trails; innovation,4749
L3-0114,创业,chuàngyè,V,3,,,,,,to begin an undertaking; to start a major task; to initiate; to venture,10754
L3-0115,创造,chuàngzào,V/N,3,,,,,,to create; to bring about; to produce; to set (a record),1476
L3-0116,创作,chuàngzuò,V/N,3,,,,,,to create; to produce; to write; creative work,3475
L3-0117,从来,cónglái,Adv,3,,,,,,always; at all times; never (if used in negative sentence),1222
L3-0118,从前,cóngqián,N,3,,,,,,previously; formerly; once upon a time,5145
L3-0119,从事,cóngshì,V,3,,,,,,to go for; to engage in; to undertake; to deal with,3339
L3-0120,村,cūn,N,3,,,,,,village,2435
L3-0121,存,cún,V,3,,,,,,to exist; to deposit; to store; to keep,2114
L3-0122,存在,cúnzài,V,3,,,,,,to exist; to be; existence,621
L3-0123,错误,cuòwù,Adj/N,3,,,,,,mistaken; false; wrong; error; mistake,1305
L3-0124,达到,dádào,,3,,,,,,to reach; to achieve; to attain,1234
L3-0125,打破,dǎpò,,3,,,,,,to break; to smash,3158
L3-0126,打听,dǎting,V,3,,,,,,to ask about; to make some inquiries; to ask around,7507
L3-0127,大概,dàgài,Adj/Adv,3,,,,,,roughly; probably; rough; approximate,1611
L3-0128,大使馆,dàshǐguǎn,N,3,,,,,,embassy,11530
L3-0129,大约,dàyuē,Adv,3,,,,,,approximately; probably,2186
L3-0130,大夫,dàifu,N,3,,,,,,doctor; physician,6248
L3-0131,代,dài,V/N,3,,,,,,to substitute; to act on behalf of others; to replace; generation,1458
L3-0132,代表,dàibiǎo,N/V,3,,,,,,representative; delegate; to represent; to stand for,644
L3-0133,代表团,dàibiǎotuán,N,3,,,,,,delegation,12795
L3-0134,带动,dàidòng,V,3,,,,,,to spur; to provide impetus; to drive,12235
L3-0135,带领,dàilǐng,V,3,,,,,,to guide; to lead,4056
L3-0136,单元,dānyuán,N,3,,,,,,unit (forming an entity); element; (in a residential building) entrance or staircase,7926
L3-0137,当初,dāngchū,N,3,,,,,,at that time; originally,2878
L3-0138,当地,dāngdì,N,3,,,,,,local,1609
L3-0139,当然,dāngrán,Adj/Adv,3,,,,,,only natural; as it should be; certainly; of course,423
L3-0140,当中,dāngzhōng,N,3,,,,,,among; in the middle; in the center,2374
L3-0141,刀,dāo,N,3,,,,,,surname Dao,1285
L3-0142,导演,dǎoyǎn,V/N,3,,,,,,to direct; director (film etc),2109
L3-0143,到达,dàodá,V,3,,,,,,to reach; to arrive,2131
L3-0144,到底,dàodǐ,Adv,3,,,,,,finally; in the end; when all is said and done; after all,741
L3-0145,得分,défēn,V/N,3,,,,,,to score,3694
L3-0146,等待,děngdài,V,3,,,,,,to wait; to wait for,1567
L3-0147,底下,dǐxia,N,3,,,,,,the location below sth; afterwards,5997
L3-0148,地区,dìqū,N,3,,,,,,local; regional; district (not necessarily formal administrative unit); region,1123
L3-0149,电视剧,diànshìjù,N,3,,,,,,TV series; TV drama,4222
L3-0150,电视台,diànshìtái,N,3,,,,,,television station,3940
L3-0151,电台,diàntái,N,3,,,,,,transmitter-receiver; broadcasting station; radio station,5542
L3-0152,电子邮件,diànzǐ yóujiàn,,3,,,,,,email,9822
L3-0153,调,diào,V,3,,,,,,to transfer; to move (troops or cadres); to investigate; to enquire into,1481
L3-0154,调查,diàochá,V/N,3,,,,,,investigation; inquiry; to investigate; to survey,512
L3-0155,订,dìng,V,3,,,,,,to agree; to conclude; to draw up; to subscribe to (a newspaper etc),2991
L3-0156,定期,dìngqī,V/Adj,3,,,,,,at set dates; at regular intervals; periodic; limited to a fixed period of time,7535
L3-0157,东部,dōngbù,N,3,,,,,,the east; eastern part,5067
L3-0158,动力,dònglì,N,3,,,,,,motive power; force; (fig.) motivation; impetus,2740
L3-0159,动人,dòngrén,Adj,3,,,,,,touching; moving,7579
L3-0160,读者,dúzhě,N,3,,,,,,reader,4369
L3-0161,短处,duǎnchù,N,3,,,,,,shortcoming; defect; fault; one's weak points,32713
L3-0162,短裤,duǎnkù,N,3,,,,,,short pants; shorts,9325
L3-0163,短期,duǎnqī,N,3,,,,,,short term; short-term,5844
L3-0164,断,duàn,V,3,,,,,,to break; to snap; to cut off; to give up or abstain from sth,1707
L3-0165,队员,duìyuán,N,3,,,,,,team member,1688
L3-0166,对待,duìdài,V,3,,,,,,to treat; treatment,2429
L3-0167,对方,duìfāng,N,3,,,,,,the other person; the other side; the other party,1158
L3-0168,对手,duìshǒu,N,3,,,,,,opponent; rival; competitor; (well-matched) adversary,1603
L3-0169,对象,duìxiàng,N,3,,,,,,target; object; partner; boyfriend; girlfriend,1912
L3-0170,顿,dùn,M,3,,,,,,to stop; to pause; to arrange; to lay out,1617
L3-0171,发表,fābiǎo,V,3,,,,,,to issue; to publish,1771
L3-0172,发出,fāchū,V,3,,,,,,"to issue (an order, decree etc); to send out; to dispatch; to produce (a sound); to let out (a laugh)",1978
L3-0173,发达,fādá,Adj,3,,,,,,well-developed; flourishing; to develop; to promote; to expand; (literary) to achieve fame and fortune; to prosper,5763
L3-0174,发动,fādòng,V,3,,,,,,to start; to launch; to unleash; to mobilize,3090
L3-0175,发明,fāmíng,V/N,3,,,,,,to invent; an invention,3943
L3-0176,发生,fāshēng,V,3,,,,,,to happen; to occur; to take place; to break out,211
L3-0177,发送,fāsòng,V,3,,,,,,to transmit; to dispatch; to issue (an official document or credential),4350
L3-0178,发言,fāyán,V/N,3,,,,,,to make a speech; statement; utterance,4527
L3-0179,发展,fāzhǎn,V/N,3,,,,,,development; growth; to develop; to grow,859
L3-0180,反对,fǎnduì,V,3,,,,,,to oppose; to be against; to object to,1381
L3-0181,反复,fǎnfù,Adv/N,3,,,,,,variant of 反复,4626
L3-0182,反应,fǎnyìng,V/N,3,,,,,,to react; to respond; reaction; response,1118
L3-0183,反正,fǎnzhèng,Adv,3,,,,,,anyway; in any case; to come over from the enemy's side,1968
L3-0184,范围,fànwéi,N,3,,,,,,range; scope; limit; extent,1325
L3-0185,方式,fāngshì,N,3,,,,,,way; manner; style; mode; pattern,513
L3-0186,防,fáng,V,3,,,,,,to protect; to defend; to guard against; to prevent,2008
L3-0187,防止,fángzhǐ,V,3,,,,,,to prevent; to guard against; to take precautions,3244
L3-0188,房东,fángdōng,N,3,,,,,,landlord,9478
L3-0189,房屋,fángwū,N,3,,,,,,house; building,3692
L3-0190,房租,fángzū,N,3,,,,,,rent for a room or house,9307
L3-0191,访问,fǎngwèn,V,3,,,,,,to visit; to call on; to interview,3182
L3-0192,放到,fàngdào,,3,,,,,,Put in,3107
L3-0193,飞行,fēixíng,V,3,,,,,,(of planes etc) to fly; flying; flight; aviation,2835
L3-0194,费,fèi,V/N,3,,,,,,surname Fei,1997
L3-0195,费用,fèiyong,N,3,,,,,,cost; expenditure; expense,2364
L3-0196,分别,fēnbié,V/Adv,3,,,,,,to part; to leave each other; to distinguish; to tell apart; difference; distinction; in different ways; differently,2885
L3-0197,分配,fēnpèi,V,3,,,,,,to distribute; to assign; to allocate; to partition (a hard drive),3851
L3-0198,分组,fēn zǔ,,3,,,,,,to divide into groups; group (formed from a larger group); subgroup; (computer networking) packet,11653
L3-0199,丰富,fēngfù,Adj,3,,,,,,to enrich; rich; plentiful; abundant,2739
L3-0200,风险,fēngxiǎn,N,3,,,,,,risk; hazard,1705
L3-0201,否定,fǒudìng,V/Adj,3,,,,,,to negate; to deny; to reject; negative (answer),6489
L3-0202,否认,fǒurèn,V,3,,,,,,to declare to be untrue; to deny,3559
L3-0203,服装,fúzhuāng,N,3,,,,,,dress; clothing; costume; clothes,2475
L3-0204,福,fú,N,3,,,,,,surname Fu; abbr. for Fujian province 省,2845
L3-0205,父母,fùmǔ,N,3,,,,,,father and mother; parents,891
L3-0206,父亲,fùqīn,N,3,,,,,,father; also pr. [fù qin],817
L3-0207,付,fù,V,3,,,,,,surname Fu,1840
L3-0208,负责,fùzé,V/Adj,3,,,,,,to be in charge of; to take responsibility for; to be to blame; conscientious,876
