hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko
L3-0455,了,liǎo,동사,3,다 ~할 수 있다 (주로 不了 로 씀),어법,这些菜我吃不了。,Zhèxiē cài wǒ chī bu liǎo.,이 음식들은 내가 다 못 먹는다.
L3-0751,为,wéi,동사,3,~이 되다 · ~로 삼다,어법,他被选为班长。,Tā bèi xuǎn wéi bānzhǎng.,그는 반장으로 뽑혔다.
L3-0752,为,wéi,개사,3,~에게 (~을 당하다),어법,这件事为大家所知。,Zhè jiàn shì wéi dàjiā suǒ zhī.,이 일은 모두에게 알려져 있다.
L3-0905,只,zhī,양사,3,마리 (동물을 세는 말),어법,我家有两只猫。,Wǒ jiā yǒu liǎng zhī māo.,우리 집에 고양이 두 마리가 있다.
L3-0394,就是,jiùshì,접속사,3,설령 ~라도,어법,就是下雨我也去。,Jiùshì xià yǔ wǒ yě qù.,비가 와도 나는 간다.
L3-0641,时,shí,명사,3,때 · 시,시간,上课时不要说话。,Shàngkè shí búyào shuōhuà.,수업할 때는 말하지 마세요.
L3-0816,需要,xūyào,동사·명사,3,필요하다 · 필요,생활,我需要你的帮助。,Wǒ xūyào nǐ de bāngzhù.,나는 네 도움이 필요하다.
L3-0408,开始,kāishǐ,동사·명사,3,시작하다 · 시작,시간,电影已经开始了。,Diànyǐng yǐjīng kāishǐ le.,영화가 이미 시작했다.
L3-0691,所,suǒ,명사·양사,3,곳 · 채 (건물을 세는 말),어법,这所学校很有名。,Zhè suǒ xuéxiào hěn yǒumíng.,이 학교는 아주 유명하다.
L3-0688,死,sǐ,동사·형용사,3,죽다 · 몹시 ~하다,몸,我饿死了。,Wǒ è sǐ le.,나는 배가 몹시 고프다.
L3-0931,种,zhǒng,양사,3,종류 (가지를 세는 말),어법,这种水果很甜。,Zhè zhǒng shuǐguǒ hěn tián.,이런 과일은 아주 달다.
L3-0771,希望,xīwàng,동사·명사,3,바라다 · 희망,감정,我希望明天不下雨。,Wǒ xīwàng míngtiān bú xià yǔ.,나는 내일 비가 안 오면 좋겠다.
L3-0355,叫,jiào,개사,3,~에게 ~을 당하다,어법,我的自行车叫人骑走了。,Wǒ de zìxíngchē jiào rén qízǒu le.,내 자전거를 누가 타고 가 버렸다.
L3-0176,发生,fāshēng,동사,3,일어나다 · 발생하다,사회,这里发生了一件事。,Zhèlǐ fāshēng le yí jiàn shì.,여기에서 일이 하나 일어났다.
L3-0757,为了,wèile,개사,3,~을 위해,어법,为了健康 我每天跑步。,Wèile jiànkāng wǒ měi tiān pǎobù.,건강을 위해 나는 매일 달린다.
L3-0914,只是,zhǐshì,부사·접속사,3,단지 ~일 뿐이다 · 다만,어법,我只是想问一下。,Wǒ zhǐshì xiǎng wèn yíxià.,나는 그저 좀 물어보고 싶을 뿐이다.
L3-0653,世界,shìjiè,명사,3,세계,장소,这是世界上最高的山。,Zhè shì shìjiè shàng zuì gāo de shān.,이것은 세계에서 가장 높은 산이다.
L3-0566,情况,qíngkuàng,명사,3,상황 · 형편,사회,现在的情况怎么样？,Xiànzài de qíngkuàng zěnmeyàng?,지금 상황은 어떤가요?
L3-0283,行,háng,양사,3,줄 · 행,어법,请看第三行。,Qǐng kàn dì sān háng.,셋째 줄을 보세요.
L3-0327,继续,jìxù,동사,3,계속하다,시간,我们继续讨论吧。,Wǒmen jìxù tǎolùn ba.,우리 계속 이야기합시다.
L3-0799,心,xīn,명사,3,마음 · 심장,감정,他的心很好。,Tā de xīn hěn hǎo.,그는 마음이 아주 좋다.
L3-0896,正,zhèng,형용사,3,바르다 · 반듯하다,평가,这幅画挂得不正。,Zhè fú huà guà de bú zhèng.,이 그림은 반듯하게 걸리지 않았다.
L3-0836,已,yǐ,부사,3,이미,시간,他已到家了。,Tā yǐ dào jiā le.,그는 이미 집에 도착했다.
L3-0883,张,zhāng,양사·동사,3,장 (종이를 세는 말) · 펴다,어법,我要一张纸。,Wǒ yào yì zhāng zhǐ.,나는 종이 한 장이 필요하다.
L3-0260,关系,guānxì,명사·동사,3,관계 · 관련되다,관계,他们的关系很好。,Tāmen de guānxì hěn hǎo.,그들의 사이는 아주 좋다.
L3-0505,内,nèi,명사,3,안 · 내부,장소,请在一周内完成。,Qǐng zài yì zhōu nèi wánchéng.,일주일 안에 끝내 주세요.
L3-0724,头,tóu,형용사,3,처음의 · 첫,시간,头三天我很忙。,Tóu sān tiān wǒ hěn máng.,처음 사흘은 아주 바빴다.
L3-0964,总,zǒng,부사,3,늘 · 언제나,시간,他总迟到。,Tā zǒng chídào.,그는 늘 지각한다.
L3-0479,每,měi,대사·부사,3,매 · 각각,어법,我每天六点起床。,Wǒ měi tiān liù diǎn qǐchuáng.,나는 매일 여섯 시에 일어난다.
L3-0480,美,měi,형용사,3,아름답다,평가,这里的风景很美。,Zhèlǐ de fēngjǐng hěn měi.,이곳의 풍경은 아주 아름답다.
L3-0835,一切,yīqiè,대사,3,모든 것 · 전부,어법,一切都会好起来的。,Yíqiè dōu huì hǎo qǐlái de.,모든 게 다 좋아질 것이다.
L3-0279,过去,guòqù,명사,3,과거 · 지난날,시간,过去的事就别再想了。,Guòqù de shì jiù bié zài xiǎng le.,지난 일은 이제 생각하지 마세요.
L3-0854,由,yóu,개사,3,~이 · ~에 의해,어법,这件事由我负责。,Zhè jiàn shì yóu wǒ fùzé.,이 일은 내가 책임진다.
L3-0600,任何,rènhé,대사,3,어떠한 · 무슨,어법,任何人都可以参加。,Rènhé rén dōu kěyǐ cānjiā.,누구나 참가할 수 있다.
L3-0401,决定,juédìng,동사·명사,3,결정하다 · 결정,생각,我决定明天去上海。,Wǒ juédìng míngtiān qù Shànghǎi.,나는 내일 상하이에 가기로 했다.
