hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko
L3-0252,功能,gōngnéng,명사,3,기능,사물,这个手机功能很多。,Zhège shǒujī gōngnéng hěn duō.,이 휴대폰은 기능이 아주 많다.
L3-0629,生产,shēngchǎn,동사,3,생산하다,일,这家工厂生产汽车。,Zhè jiā gōngchǎng shēngchǎn qìchē.,이 공장은 자동차를 생산한다.
L3-0664,适应,shìyìng,동사,3,적응하다,생활,我还没适应这里的生活。,Wǒ hái méi shìyìng zhèlǐ de shēnghuó.,나는 아직 이곳 생활에 적응하지 못했다.
L3-0378,进展,jìnzhǎn,동사,3,진전되다,일,工作进展得很顺利。,Gōngzuò jìnzhǎn de hěn shùnlì.,일이 아주 순조롭게 진행되고 있다.
L3-0662,试验,shìyàn,동사,3,시험하다 · 실험하다,학교,我们试验了三次。,Wǒmen shìyàn le sān cì.,우리는 세 번 시험했다.
L3-0859,游,yóu,동사,3,헤엄치다 · 유람하다,동작,他游得很快。,Tā yóu de hěn kuài.,그는 아주 빨리 헤엄친다.
L3-0918,指导,zhǐdǎo,동사,3,지도하다,학교,老师指导我们做实验。,Lǎoshī zhǐdǎo wǒmen zuò shíyàn.,선생님이 우리를 지도해 실험을 했다.
L3-0649,食品,shípǐn,명사,3,식품,음식,这家店卖各种食品。,Zhè jiā diàn mài gèzhǒng shípǐn.,이 가게는 여러 가지 식품을 판다.
L3-0129,大约,dàyuē,부사,3,대략 · 아마,어법,大约有一百人。,Dàyuē yǒu yìbǎi rén.,대략 백 명쯤 있다.
L3-0451,联合,liánhé,동사,3,연합하다 · 손잡다,사회,两家公司联合了。,Liǎng jiā gōngsī liánhé le.,두 회사가 손을 잡았다.
L3-0714,铁,tiě,명사,3,쇠 · 철,사물,这个门是铁做的。,Zhège mén shì tiě zuò de.,이 문은 쇠로 만든 것이다.
L3-0463,录,lù,동사,3,녹음하다 · 기록하다,동작,请把这个录下来。,Qǐng bǎ zhège lù xiàlái.,이것을 녹음해 주세요.
L3-0700,提前,tíqián,동사,3,앞당기다,시간,会议提前了一个小时。,Huìyì tíqián le yí ge xiǎoshí.,회의가 한 시간 앞당겨졌다.
L3-0969,组合,zǔhé,동사,3,조합하다 · 짜맞추다,사물,我们可以自由组合。,Wǒmen kěyǐ zìyóu zǔhé.,우리는 자유롭게 조합할 수 있다.
L3-0313,积极,jījí,형용사,3,적극적이다,태도,他学习很积极。,Tā xuéxí hěn jījí.,그는 공부를 아주 적극적으로 한다.
L3-0558,强烈,qiángliè,형용사,3,강렬하다 · 세다,평가,阳光很强烈。,Yángguāng hěn qiángliè.,햇빛이 아주 강하다.
L3-0888,争取,zhēngqǔ,동사,3,힘써 얻다 · 쟁취하다,태도,我们要争取时间。,Wǒmen yào zhēngqǔ shíjiān.,우리는 시간을 벌어야 한다.
L3-0697,汤,tāng,명사,3,국 · 탕,음식,这个汤很好喝。,Zhège tāng hěn hǎohē.,이 국은 아주 맛있다.
L3-0422,恐怕,kǒngpà,부사,3,아마 ~일 것이다,어법,恐怕他不会来了。,Kǒngpà tā bú huì lái le.,아마 그는 안 올 것 같다.
L3-0958,自从,zìcóng,개사,3,~이래로 · ~한 뒤로,어법,自从来到这里 我很开心。,Zìcóng lái dào zhèlǐ wǒ hěn kāixīn.,여기 온 뒤로 나는 아주 즐겁다.
L3-0494,命运,mìngyùn,명사,3,운명,생각,我相信自己的命运。,Wǒ xiāngxìn zìjǐ de mìngyùn.,나는 내 운명을 믿는다.
L3-0519,女子,nǚzǐ,명사,3,여자,관계,这是女子比赛。,Zhè shì nǚzǐ bǐsài.,이것은 여자 경기다.
L3-0436,类似,lèisì,동사·형용사,3,비슷하다,평가,这两件事很类似。,Zhè liǎng jiàn shì hěn lèisì.,이 두 일은 아주 비슷하다.
L3-0372,尽量,jǐnliàng,부사,3,되도록 · 가능한 한,어법,请尽量早点来。,Qǐng jǐnliàng zǎo diǎn lái.,되도록 일찍 와 주세요.
L3-0317,及时,jíshí,형용사,3,제때의 · 때맞다,시간,你来得很及时。,Nǐ lái de hěn jíshí.,너 아주 때맞춰 왔다.
L3-0946,专门,zhuānmén,부사,3,일부러 · 전문적으로,어법,我专门来看你。,Wǒ zhuānmén lái kàn nǐ.,나는 일부러 너를 보러 왔다.
L3-0955,资格,zīgé,명사,3,자격,사회,他有参加的资格。,Tā yǒu cānjiā de zīgé.,그는 참가할 자격이 있다.
L3-0242,工具,gōngjù,명사,3,도구,사물,这是一件有用的工具。,Zhè shì yí jiàn yǒuyòng de gōngjù.,이것은 쓸모 있는 도구다.
L3-0425,快速,kuàisù,형용사,3,빠르다 · 고속의,평가,这是一条快速通道。,Zhè shì yì tiáo kuàisù tōngdào.,이것은 빠른 통로다.
L3-0449,连续,liánxù,동사,3,연속하다 · 잇따르다,시간,他连续工作了十天。,Tā liánxù gōngzuò le shí tiān.,그는 열흘 연속 일했다.
L3-0402,决赛,juésài,명사,3,결승전,활동,明天是决赛。,Míngtiān shì juésài.,내일이 결승전이다.
L3-0804,形成,xíngchéng,동사,3,형성되다 · 만들어지다,사회,这个习惯是慢慢形成的。,Zhège xíguàn shì mànmàn xíngchéng de.,이 습관은 천천히 만들어진 것이다.
L3-0531,配合,pèihé,동사,3,협력하다 · 호흡을 맞추다,관계,谢谢你的配合。,Xièxie nǐ de pèihé.,협조해 주셔서 고맙습니다.
L3-0777,显得,xiǎnde,동사,3,~해 보이다,평가,他今天显得很累。,Tā jīntiān xiǎnde hěn lèi.,그는 오늘 아주 피곤해 보인다.
L3-0564,亲自,qīnzì,부사,3,직접 · 몸소,어법,他亲自来了。,Tā qīnzì lái le.,그가 직접 왔다.
L3-0246,公共,gōnggòng,형용사,3,공공의,사회,这是公共场所。,Zhè shì gōnggòng chǎngsuǒ.,이곳은 공공장소다.
L3-0195,费用,fèiyong,명사,3,비용,일,这次旅行的费用不高。,Zhè cì lǚxíng de fèiyong bù gāo.,이번 여행 비용은 비싸지 않다.
L3-0959,自动,zìdòng,형용사·부사,3,자동의 · 저절로,사물,这个门是自动的。,Zhège mén shì zìdòng de.,이 문은 자동문이다.
L3-0492,明确,míngquè,형용사·동사,3,명확하다 · 분명히 하다,평가,他的态度很明确。,Tā de tàidù hěn míngquè.,그의 태도는 아주 명확하다.
L3-0363,结合,jiéhé,동사,3,결합하다 · 합치다,생각,理论要和实际结合。,Lǐlùn yào hé shíjì jiéhé.,이론은 실제와 결합해야 한다.
L3-0140,当中,dāngzhōng,명사,3,그중 · 한가운데,장소,我们当中他最高。,Wǒmen dāngzhōng tā zuì gāo.,우리 중에 그가 가장 크다.
L3-0501,男子,nánzǐ,명사,3,남자,관계,这是男子比赛。,Zhè shì nánzǐ bǐsài.,이것은 남자 경기다.
L3-0630,生存,shēngcún,동사,3,살아남다 · 생존하다,자연,这里的动物很难生存。,Zhèlǐ de dòngwù hěn nán shēngcún.,이곳의 동물은 살아남기 어렵다.
L3-0528,胖,pàng,형용사,3,뚱뚱하다 · 살찌다,몸,我最近有点儿胖了。,Wǒ zuìjìn yǒudiǎnr pàng le.,나는 요즘 좀 살이 쪘다.
L3-0730,土,tǔ,명사,3,흙 · 땅,자연,这里的土很好。,Zhèlǐ de tǔ hěn hǎo.,이곳의 흙은 아주 좋다.
L3-0514,念,niàn,동사,3,소리 내어 읽다 · 그리워하다,동작,请念一下这段话。,Qǐng niàn yíxià zhè duàn huà.,이 문단을 소리 내어 읽어 주세요.
L3-0376,进步,jìnbù,동사·형용사,3,늘다 · 발전하다,평가,你的汉语进步了。,Nǐ de Hànyǔ jìnbù le.,네 중국어가 늘었다.
L3-0166,对待,duìdài,동사,3,대하다 · 다루다,태도,我们要认真对待这件事。,Wǒmen yào rènzhēn duìdài zhè jiàn shì.,우리는 이 일을 진지하게 대해야 한다.
L3-0120,村,cūn,명사,3,마을,장소,我出生在一个小村。,Wǒ chūshēng zài yí ge xiǎo cūn.,나는 작은 마을에서 태어났다.
L3-0784,现象,xiànxiàng,명사,3,현상,사회,这是一个常见的现象。,Zhè shì yí ge chángjiàn de xiànxiàng.,이것은 흔한 현상이다.
L3-0645,实力,shílì,명사,3,실력,평가,他的实力很强。,Tā de shílì hěn qiáng.,그의 실력은 아주 뛰어나다.
L3-0577,缺,quē,동사,3,모자라다 · 빠지다,평가,我们缺一个人。,Wǒmen quē yí ge rén.,우리는 한 사람이 모자란다.
