hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko
L3-0826,演,yǎn,동사,3,연기하다 · 공연하다,활동,他在电影里演警察。,Tā zài diànyǐng lǐ yǎn jǐngchá.,그는 영화에서 경찰을 연기한다.
L3-0170,顿,dùn,양사,3,끼 · 번 (식사·꾸중을 세는 말),어법,我一天吃三顿饭。,Wǒ yì tiān chī sān dùn fàn.,나는 하루에 세 끼를 먹는다.
L3-0253,共同,gòngtóng,형용사,3,공동의 · 함께,관계,这是我们共同的目标。,Zhè shì wǒmen gòngtóng de mùbiāo.,이것은 우리 공동의 목표다.
L3-0875,杂志,zázhì,명사,3,잡지,사물,我买了一本杂志。,Wǒ mǎi le yì běn zázhì.,나는 잡지 한 권을 샀다.
L3-0718,停止,tíngzhǐ,동사,3,멈추다 · 그치다,동작,雨停止了。,Yǔ tíngzhǐ le.,비가 그쳤다.
L3-0759,文化,wénhuà,명사,3,문화,사회,中国文化很有意思。,Zhōngguó wénhuà hěn yǒu yìsi.,중국 문화는 아주 흥미롭다.
L3-0397,具体,jùtǐ,형용사,3,구체적이다,평가,请说得具体一点。,Qǐng shuō de jùtǐ yìdiǎn.,좀 더 구체적으로 말해 주세요.
L3-0286,合,hé,동사,3,합치다 · 닫다,동작,请把书合上。,Qǐng bǎ shū héshàng.,책을 덮어 주세요.
L3-0830,演员,yǎnyuán,명사,3,배우,일,她是一位有名的演员。,Tā shì yí wèi yǒumíng de yǎnyuán.,그는 유명한 배우다.
L3-0934,周围,zhōuwéi,명사,3,주위 · 주변,장소,学校周围有很多商店。,Xuéxiào zhōuwéi yǒu hěn duō shāngdiàn.,학교 주변에 상점이 많다.
L3-0548,奇怪,qíguài,형용사,3,이상하다,평가,这件事很奇怪。,Zhè jiàn shì hěn qíguài.,이 일은 아주 이상하다.
L3-0210,复杂,fùzá,형용사,3,복잡하다,평가,这个问题很复杂。,Zhège wèntí hěn fùzá.,이 문제는 아주 복잡하다.
L3-0636,胜,shèng,동사,3,이기다,활동,这场比赛他胜了。,Zhè chǎng bǐsài tā shèng le.,이 시합에서 그가 이겼다.
L3-0474,慢慢,mànmàn,부사,3,천천히,시간,请慢慢说。,Qǐng mànmàn shuō.,천천히 말씀해 주세요.
L3-0822,压,yā,동사,3,누르다,동작,书压在下面。,Shū yā zài xiàmiàn.,책이 아래에 눌려 있다.
L3-0580,确保,quèbǎo,동사,3,확실히 하다 · 보장하다,일,请确保安全。,Qǐng quèbǎo ānquán.,안전을 확실히 해 주세요.
L3-0343,建,jiàn,동사,3,짓다 · 세우다,동작,这里要建一座桥。,Zhèlǐ yào jiàn yí zuò qiáo.,여기에 다리를 하나 지을 것이다.
L3-0165,队员,duìyuán,명사,3,팀원,활동,他是我们的队员。,Tā shì wǒmen de duìyuán.,그는 우리 팀원이다.
L3-0967,足够,zúgòu,동사,3,충분하다,평가,时间足够了。,Shíjiān zúgòu le.,시간은 충분하다.
L3-0405,咖啡,kāfēi,명사,3,커피,음식,我早上喝一杯咖啡。,Wǒ zǎoshang hē yì bēi kāfēi.,나는 아침에 커피 한 잔을 마신다.
L3-0840,意外,yìwài,형용사·명사,3,뜻밖이다 · 사고,감정,这个结果很意外。,Zhège jiéguǒ hěn yìwài.,이 결과는 아주 뜻밖이다.
L3-0200,风险,fēngxiǎn,명사,3,위험 · 리스크,사회,这件事有风险。,Zhè jiàn shì yǒu fēngxiǎn.,이 일에는 위험이 있다.
L3-0643,时刻,shíkè,명사·부사,3,순간 · 늘,시간,那是最重要的时刻。,Nà shì zuì zhòngyào de shíkè.,그것은 가장 중요한 순간이었다.
L3-0164,断,duàn,동사,3,끊다 · 끊어지다,동작,电话断了。,Diànhuà duàn le.,전화가 끊겼다.
L3-0262,观察,guānchá,동사,3,관찰하다,생각,他仔细观察了很久。,Tā zǐxì guānchá le hěn jiǔ.,그는 오랫동안 자세히 관찰했다.
L3-0550,千万,qiānwàn,부사,3,절대로 · 부디,어법,你千万别忘了。,Nǐ qiānwàn bié wàng le.,절대 잊지 마세요.
L3-0930,钟,zhōng,명사,3,시계 · 분 (시간),시간,请等五分钟。,Qǐng děng wǔ fēnzhōng.,5분만 기다려 주세요.
L3-0361,接近,jiējìn,동사,3,가까워지다 · 접근하다,시간,时间接近中午了。,Shíjiān jiējìn zhōngwǔ le.,시간이 정오에 가까워졌다.
L3-0933,重大,zhòngdà,형용사,3,중대하다,평가,这是一个重大的决定。,Zhè shì yí ge zhòngdà de juédìng.,이것은 중대한 결정이다.
L3-0398,具有,jùyǒu,동사,3,갖추다 · 지니다,평가,他具有丰富的经验。,Tā jùyǒu fēngfù de jīngyàn.,그는 풍부한 경험을 갖추고 있다.
L3-0291,和平,hépíng,명사,3,평화,사회,我们希望世界和平。,Wǒmen xīwàng shìjiè hépíng.,우리는 세계 평화를 바란다.
L3-0171,发表,fābiǎo,동사,3,발표하다,사회,他发表了一篇文章。,Tā fābiǎo le yì piān wénzhāng.,그는 글 한 편을 발표했다.
L3-0813,修,xiū,동사,3,고치다 · 수리하다,동작,我的手机要修一下。,Wǒ de shǒujī yào xiū yíxià.,내 휴대폰을 좀 고쳐야 한다.
L3-0788,相关,xiāngguān,동사,3,관련되다,어법,这两件事相关。,Zhè liǎng jiàn shì xiāngguān.,이 두 일은 서로 관련이 있다.
L3-0334,价格,jiàgé,명사,3,가격,사물,这个价格太高了。,Zhège jiàgé tài gāo le.,이 가격은 너무 비싸다.
L3-0392,旧,jiù,형용사,3,낡다 · 오래되다,평가,这本书很旧了。,Zhè běn shū hěn jiù le.,이 책은 아주 낡았다.
